Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
1530,549.387,209.777,487.48,141.14,17.2233,3.93829,44.9333,7.44239
1540,520.27,146.402,470.76,80.1116,16.9567,4.57653,42.9267,4.89736
1550,480.157,93.1264,487.743,127.885,16.4933,3.43219,44.8767,8.79305
1560,513.003,158.574,478.88,89.93,18.51,9.24126,48.7867,19.1869
1570,598.79,224.092,512.687,136.128,18.46,5.48513,47.1167,10.0613
1580,556.687,162.666,485.65,106.459,16.7233,2.58773,46.49,8.86011
1590,544.61,104.355,550.81,198.094,18.9533,6.54052,45.7633,5.85624
1600,574.787,187.888,553.917,172.083,19.8767,8.22271,46.4467,6.15779
1610,573.59,154.185,536.61,104.806,20.1133,10.1638,48.4033,13.3167
1620,521.02,108.226,501.497,72.1321,16.38,0.720345,42.88,1.23104
1630,589.97,135.856,535.883,175.169,17.6433,3.56948,46.72,8.54047
1640,600.483,208.572,577.79,214.593,20.6833,14.1908,51.1067,14.3544
1650,573.273,128.646,591.25,192.746,19.54,6.51103,53.3167,39.4833
1660,659.03,293.591,581.173,172.692,18.34,3.6321,51.2833,11.2744
1670,651.247,188.003,615.223,151.194,20.5167,6.67807,49.4,8.96495
1680,612.18,177.542,589.953,229.592,20.4667,9.43217,50.4233,12.4195
1690,730.17,283.72,710.9,298.642,22.6333,9.10901,59.5567,36.4193
1700,1067.47,560.194,917.237,277.675,28.12,6.45207,61.7267,14.4897
1710,701.63,170.372,679.623,228.088,22.3533,9.82708,56.1633,21.8019
1720,745.577,278.672,712.283,234.456,23.0933,7.48022,59.2167,21.8639
1730,669.92,163.41,612.713,219.611,20.78,6.70355,54.91,17.2774
1740,629.257,179.104,627.26,197.389,21.55,9.55495,54.0333,16.633
1750,671.397,195.425,668.45,243.623,22.7367,16.3434,51.3567,13.7712
1760,741.55,234.859,744.563,252.808,23.22,9.42617,56.24,14.5742
1770,665.203,164.973,701.047,265.803,21.53,6.24953,51.5933,6.90072
1780,704.217,187.555,694.94,228.315,22.8733,8.539,53.0233,7.50134
1790,757.107,277.369,705.76,189.754,24.6567,12.7058,55.71,17.0604
1800,781.47,291.319,710.687,215.32,25.9767,21.7002,55.19,13.5517
1810,731.48,175.249,700.547,212.964,21.1633,7.22073,54.0667,10.459
1820,767.503,267.704,699.23,235.424,22.04,6.4439,55.5167,13.464
1830,765.69,236.989,791.86,258.269,25.12,13.0061,58.1,13.1963
1840,778.683,247.063,718.21,190.106,22.2267,5.4258,55.3433,13.6653
1850,738.68,184.362,703.74,194.799,23.66,12.0936,55.0933,14.9746
1860,722.98,182.656,750.587,256.947,21.9467,5.98543,56.7133,15.4126
1870,821.24,273.234,726.667,179.315,21.8367,7.59058,59.1033,35.1284
1880,792.18,271.167,709.387,146.943,22.13,10.479,51.3567,2.44324
1890,767.437,218.272,739.093,168.288,23.8833,10.1141,59.2,16.9731
1900,789.047,257.761,746.383,238.052,24.48,10.9532,55.9567,14.8607
1910,779.227,153.925,784.757,220.592,23.44,9.15328,57.8133,13.8755
1920,849.527,293.961,813.757,194.581,24.8433,12.3747,59.0267,14.8519
1930,836.43,235.914,748.307,126.086,24.6533,17.4303,59.2267,15.7944
1940,851.967,196.727,791.097,198.128,23.5333,9.79382,59.96,18.2939
