Size,First,Last,Middle,Random
2620,1311.17,3917.27,35.0333,103.867
2630,1381.4,4157.03,36.3333,113
2640,1403.5,4133.27,29.7333,98.9333
2650,1342.57,4034.2,35.9,110.9
2660,1447.1,4044,36.2333,105.167
2670,1389.83,4170.83,31.8333,101.067
2680,1330.53,4102.67,33.8,111.933
2690,1375.47,4119.63,37.4667,110.433
2700,1388.93,4085.33,34.7333,105.533
2710,1461.87,4313.13,33.7667,105.533
2720,1517.27,4407.97,34.4,112.733
2730,1441.63,4264.63,31.3667,109.9
2740,1436.27,4344.1,30.2667,120.567
2750,1571.9,4389.1,31.8,102.4
2760,1654.87,4766.8,38.9667,103.633
2770,1494.1,4591.37,32.9333,104.533
2780,1510.47,4434.2,33.1,106.667
2790,1501.23,4417.53,32.2333,102.467
2800,1502.57,4427.93,36.8,119.8
2810,1486.33,4380.8,31.4667,104.867
2820,1481.73,4667,34.0333,109.6
2830,1799.73,5293.77,35.0667,105.8
2840,1493.67,4651.63,31.7333,108.067
2850,1546.1,4562.53,32.8,108.867
2860,1501.9,4951.83,34.9333,109.667
2870,1964.6,4766.77,42.3667,131.367
2880,2205.77,4475.57,48.3,138
2890,1619.57,4860,32.3333,110
2900,1607.33,5421.33,40.6,118.9
2910,1824.67,4907.8,32.5667,107.667
2920,1534.7,4993.13,38.8667,116.567
2930,1542.93,5239.93,33.1667,111.6
2940,1738.9,5102.13,33.9333,115.867
2950,1710.57,5196.83,39.4,109.633
2960,1598.63,5201.13,45.8333,116.467
2970,1569.07,5142.13,35.4333,112.033
2980,1981.87,4760.17,33.2,107.367
2990,1756.97,5175.7,44.6667,130.067
3000,1881.13,5256.1,38.9667,122.267
3010,1869.5,5688.33,35.7667,111.8
3020,1882.8,5619.17,38.5333,120.1
3030,2017,5541.23,40.8,127.133
3040,1821.23,5494.1,38.8667,121.8
3050,1858.63,5344.9,44,131.2
3060,1837.5,5323.17,39.8667,118.933
3070,1853.63,5444.2,34.2667,121.067
3080,1943.23,5950.37,38.1333,118.267
3090,1989.23,5411.97,38.9333,119.567
3100,1995.97,5571.4,37.3333,115.633
3110,1961.67,5734.93,38.3333,155.133
3120,1952.93,5746,37.0333,124.067
3130,1841.33,5678.17,35.4667,129
3140,2077.33,5886.43,39.0667,122.767
3150,2031.83,5887.87,37.7333,119
3160,1990.33,5680.57,37.3667,146.167
3170,1948,5695.57,38.1,132.7
3180,1978.7,5878.77,40.6333,123.5
3190,1899.53,5660.07,36.6667,124.6
3200,1997.1,5904.8,38.2,126.467
3210,2004.03,5899.63,42.7667,130.4
3220,1984.6,5917.13,39.6333,128.833
3230,2084.53,6184.33,40.9667,131.767
3240,2111.57,6346.17,42.5,131.133
3250,2166.87,6149.27,38.1,128.9
3260,2186.5,6233.93,38.9,126.833
3270,2227.9,6407.7,40.1333,135.6
3280,2137,6659.57,39.4667,127.033
3290,2259.7,6622.93,41.0667,132.333
3300,2128.9,6560.9,36.3667,123.367
3310,2216.7,6106.43,37.9333,126.6
3320,2054.83,6409.1,37.3333,126.2
3330,2128.27,6274.87,39.3,133.3
3340,2075.77,6295.07,36.8333,124.833
3350,2182.57,6383.03,39.0667,136.533
3360,2205.07,6358.77,35.7333,120.667
3370,2182.73,6413.8,45.7,142.9
3380,2142.7,6474.53,41.1,128.933
3390,2215.07,6697.63,41.6667,136.933
3400,2185.13,6578.43,40.6667,132.233
3410,2199.07,6540.17,36.4667,135.367
3420,2191.57,6593.07,37.3667,138.767
3430,2379.9,6697.87,42.7667,135.8
3440,2304.87,6662.23,39.0333,129
3450,2199.1,6732.23,38.2667,131.667
3460,2297.53,6818.07,39.4,129.133
3470,2298.63,6795.83,38.7667,130.4
3480,2321,6871.93,41.0667,160.2
3490,2533.9,7430.13,43.2,151.933
3500,2415.27,7151.13,38.9,136.7
3510,2273.7,6885.03,39.6667,134.5
3520,2312.4,6921.5,38.2,131.467
3530,2303.23,7182.8,44.9667,134.367
3540,2445.77,7077.03,39.3333,137.967
3550,2541.53,7402.5,44.7667,148.1
3560,2459.1,7357.4,40.7667,132.533
3570,2489.77,7221.53,41.2,142.9
3580,2513.97,7556.5,47.8333,142.9
3590,2638.5,8039.03,42.8333,147.633
3600,2622.23,7556.33,46.3667,148
3610,2499.87,7379.6,37.8667,131.367
3620,2607.47,7469.07,43.0333,142.067
3630,2619.93,7439.33,41.0333,151.4
3640,2636.67,8072.53,42.7667,137.8
